Variable,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12
cata_appearance_unevencolor,1.936613700183447,-1.1732249247018383,0.32072485693267544,-0.36910849393564715,-1.6200593833351113,-0.3774736200835753,0.3015458554269345,-0.6335252299491513,1.2281639171061143,-0.4084540810306178,-0.6225491301166514,0.3172724052370543
cata_appearance_misshapen,0.058944102579288,2.051137724788514,-3.6606054381913387,0.3531013483595939,-1.0060355525023,-0.21249600441425368,-0.23927488101156616,-1.0951640513250926,0.2670909494734066,-0.11119355722250496,0.11384684098551537,-0.11854340200977885
cata_appearance_notfresh,2.453268364595835,0.1615219865986551,-0.22489457510312652,0.995246707577589,2.86890300402611,1.0263872368211848,-0.05545059234832375,-0.38506099164172675,0.06475031228189487,0.2590011562264164,0.650508048530881,0.3693780788511597
cata_appearance_fresh,-0.9372699376148741,0.024679279058527237,0.4404535748033053,0.12407731375060292,-0.10863292502723465,0.1414961777136513,0.04397074569944534,-0.20627302902613892,0.8117068933493455,-0.17005754076373308,1.4775755329836495,1.0577415228442524
cata_appearance_goodquality,-0.9973471758402142,0.08087826651511239,0.5059589173648957,0.4849384294573759,0.5297542049784278,0.33277242049965355,0.3425097364980777,-1.0731453824638193,0.47718892039776994,-0.15374662674974235,-1.3629418120573313,-0.7992437327098928
cata_appearance_none,-0.7937563182552678,-1.4824446202288755,-0.16563012998243268,-1.4180917588797994,0.6901780460707628,3.2913350090886495,-17.006164060213735,1.3294917431403037,1.45853357141221,-7.06300041731852,-2.76411378560325,0.8243720369371287
cata_taste_floral,-0.2815015633698762,-0.15570462849190242,-0.6608263467346831,-0.22435158689056509,1.4972837244625654,-2.8193315193532094,0.8640645944175145,1.8336607209947768,0.1263890856950902,-2.2281269947536355,-0.7929543144964287,0.6153387340418055
cata_taste_berry,-0.3325407492397583,-0.7902211866467943,-0.4602104689300346,-0.4352527001794975,0.03456135471156469,0.08937030169397188,-0.21406091939142619,0.2679411753256278,-0.9829721536611884,1.2341189086632207,-0.6856896276045266,0.9843927549200774
cata_taste_grassy,0.5978263989093054,1.2025805700097412,1.4898164233678395,1.2955301564183292,-0.9680010019481036,-1.0235467884767553,-0.48915622090873434,-0.7017378766694252,-2.5232186099039655,-0.6268628036964019,0.30656608791102896,0.11219357693966442
cata_taste_fermented,0.4853397944629244,2.238712389965696,0.8250953037527821,-3.9589988011390083,0.10594193988371207,1.8898178415095332,1.0387722760475695,0.3000661826503431,-0.7860524101424249,-1.2096747671841126,-0.2606411033938652,0.09947975063427325
cata_taste_fruity,-0.12240885880055502,-1.1825656202285697,-0.465508610088456,-0.22731942915640085,-0.1453017269607062,0.29307110117545243,0.08434588173114202,0.42917125829290254,-0.6520509036456011,-0.33405884138881964,1.1196157873727959,-1.8970535912985902
cata_taste_earthy,0.3549053520505328,1.4379699495714902,0.8555031829144317,-0.34913573476230597,-0.018917763750242372,-1.2013918707816431,-0.9964460885898851,1.3593894236070365,1.248888606046161,2.0332988412792816,0.061656816763662026,-1.232091871244839
cata_taste_none,0.12074289139661597,0.9653992304122624,-0.034864540184570005,3.534574327294466,-2.0526531508664507,3.7122408772371327,1.3467373651541945,4.833111791539412,0.41381133809422116,-0.8624509260739623,-1.4766834252657237,0.5246655149071509
